,CMA Number,Chinese Name,English Name,Landing Location,Landing Time,Peak Strength,Landing Strength,coordinate,lat,lon,area,city,prinvince
108,8411,——,June,广东省汕尾市陆丰市甲东镇,1984年8月31日,11级，30m/s，980hPa,11级，30m/s，980hPa,"(22.876766, 116.101101)",22.876766,116.101101,"('Guangdong Sheng', 'Shanwei Shi')",Shanwei Shi,Guangdong Sheng
109,8503,——,——,海南省万宁市南桥镇,1985年6月20日,8级，20m/s，990hPa,5级，10m/s，994hPa,"(18.680116, 110.152697)",18.680116,110.152697,"('Hainan Sheng', 'Wanning Shi')",Wanning Shi,Hainan Sheng
110,8504,——,Hal,广东省汕尾市马宫镇沿海地区,1985年6月24日,13级，40m/s，958hPa,10级，25m/s，975hPa,"(22.794593, 115.252879)",22.794593,115.252879,"('Guangdong Sheng', 'Shanwei Shi')",Shanwei Shi,Guangdong Sheng
111,8506,——,Jeff,浙江省台州市玉环县坎门镇,1985年7月30日,13级，40m/s，965hPa,13级，40m/s，965hPa,"(28.093759, 121.280991)",28.093759,121.280991,"('Zhejiang Sheng', 'Taizhou Shi')",Taizhou Shi,Zhejiang Sheng
112,8509,——,Mamie,江苏省南通市启东市寅阳镇,1985年8月18日,12级，35m/s，980hPa,12级，35m/s，980hPa,"(31.735606, 121.804827)",31.735606,121.804827,"('Jiangsu Sheng', 'Nantong Shi')",Nantong Shi,Jiangsu Sheng
113,8509,——,Mamie,山东省青岛市胶南市大珠山镇,1985年8月19日,12级，35m/s，980hPa,11级，30m/s，983hPa,"(35.822288, 119.9832)",35.822288,119.9832,"('Shandong Sheng', 'Qingdao Shi')",Qingdao Shi,Shandong Sheng
114,8509,——,Mamie,辽宁省大连市旅顺口区龙头镇,1985年8月19日,12级，35m/s，980hPa,11级，30m/s，981hPa,"(38.869478, 121.316487)",38.869478,121.316487,"('Liaoning Sheng', 'Dalian Shi')",Dalian Shi,Liaoning Sheng
115,8510,——,Nelson,福建省福州市福清市城头镇,1985年8月23日,15级，50m/s，955hPa,14级，45m/s，965hPa,"(25.711067, 119.516198)",25.711067,119.516198,"('Fujian Sheng', 'Fuzhou Shi')",Fuzhou Shi,Fujian Sheng
116,8515,——,Tess,广东省阳江市阳东县东平镇,1985年9月6日,13级，40m/s，965hPa,12级，35m/s，970hPa,"(21.738382, 112.228638)",21.738382,112.228638,"('Guangdong Sheng', 'Yangjiang Shi')",Yangjiang Shi,Guangdong Sheng
117,8517,——,Winona,广东省湛江市麻章区东简镇,1985年9月22日,10级，25m/s，980hPa,10级，25m/s，980hPa,"(21.014285, 110.497438)",21.014285,110.497438,"('Guangdong Sheng', 'Zhanjiang Shi')",Zhanjiang Shi,Guangdong Sheng
118,8518,——,Andy,海南省万宁市东澳镇,1985年9月29日,12级，35m/s，975hPa,12级，35m/s，975hPa,"(18.714928, 110.401814)",18.714928,110.401814,"('Hainan Sheng', 'Wanning Shi')",Wanning Shi,Hainan Sheng
